sku,name,reason
VU2006091,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2010766,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2033670,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2035399,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2037216,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2050288,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2050290,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2050317,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2055890,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2063261,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2063267,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2082928,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2082931,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2089373,Abreißbeutel LDPE 30 x 40 +3 cm 1000 Stk.,nicht_in_excel
VU2090302,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2090304,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2090307,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2090312,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2090314,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2090318,DUNI Servietten 40 x 40 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2093745,DUNI Servietten 33 x 33 cm 3 Lagig 1000 Stk.,nicht_in_excel
VU2095133,DUNI Servietten 24 x 24 cm 3 Lagig 2000 Stk.,nicht_in_excel
VU2095134,DUNI Servietten 24 x 24 cm 3 Lagig 2000 Stk.,nicht_in_excel
VU2095135,DUNI Servietten 24 x 24 cm 3 Lagig 2000 Stk.,nicht_in_excel
VU2095136,DUNI Servietten 24 x 24 cm 3 Lagig 2000 Stk.,nicht_in_excel
VU2095137,DUNI Servietten 24 x 24 cm 3 Lagig 2000 Stk.,nicht_in_excel
VU2095138,DUNI Servietten 24 x 24 cm 3 Lagig 2000 Stk.,nicht_in_excel
VU2095139,DUNI Servietten 24 x 24 cm 3 Lagig 2000 Stk.,nicht_in_excel
VU2095141,DUNI Servietten 24 x 24 cm 3 Lagig 2000 Stk.,nicht_in_excel
VU2095142,DUNI Servietten 24 x 24 cm 3 Lagig 2000 Stk.,nicht_in_excel
VU2095143,DUNI Servietten 24 x 24 cm 3 Lagig 2000 Stk.,nicht_in_excel
VU2095147,DUNI Servietten 24 x 24 cm 3 Lagig 2000 Stk.,nicht_in_excel
VU2095149,DUNI Servietten 24 x 24 cm 3 Lagig 2000 Stk.,nicht_in_excel
VU2095151,DUNI Servietten 24 x 24 cm 3 Lagig 2000 Stk.,nicht_in_excel
